,Ingredient,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR,Clue
3854,ali di razza,1,1,0,0,alici
1997,alice,1,1,0,0,alici
823,alici,35,28,0,7,alici
4155,alici di aspra,1,1,0,0,alici
2734,alici marinate,1,1,0,0,alici
2796,alici sott'olio,3,2,0,1,alici
1720,alici sotto sale,1,1,0,0,alici
4073,alici spagnole,1,1,0,0,alici
3420,alici spinate,1,1,0,0,alici
3244,alkermes,1,1,0,0,alkermes
253,alloro,449,197,178,74,alloro
2521,alloro secco,2,2,0,0,alloro
4016,allspice,1,1,0,0,allspice
2522,alvia,1,1,0,0,alvia
2259,amaranto,6,5,1,0,amaranto
1604,amarene,6,4,2,0,amarene
4339,amarene con sciroppo,3,0,3,0,amarene
2019,amarene fabbri,2,2,0,0,amarene
1945,amarene sciroppate,33,10,23,0,amarene sciroppate
2098,amarene sciroppate sgocciolate,1,1,0,0,amarene
3995,amarene sciroppate snocciolate,1,1,0,0,amarene
3805,amarene sgocciolate,1,1,0,0,amarene
364,amaretti,89,58,30,1,amaretti
1901,amaretti di saronno,1,1,0,0,amaretti
3713,amaretti di sassello,1,1,0,0,amaretti
1226,amaretti morbidi,2,2,0,0,amaretti
1006,amaretti secchi,5,5,0,0,amaretti
4364,amaretto,6,0,6,0,amaretto
2177,amaro,5,1,4,0,amaranto
4187,american whisky,1,1,0,0,american whisky
173,amido,8,6,0,2,amido
2557,amido di frumento,2,2,0,0,amido
48,amido di mais,311,88,223,0,amido di mais
454,amido di riso,18,12,6,0,amido di riso
4126,amido si mais,1,1,0,0,amido
2782,ammoniaca,14,5,8,1,ammoniaca
744,ammoniaca alimentare,1,1,0,0,ammoniaca
1391,anacardi,20,4,16,0,anacardi
2449,anacardi tostati,3,3,0,0,anacardi
113,ananas,75,46,29,0,ananas
2132,ananas baby,1,1,0,0,ananas
2954,ananas disidratato,1,1,0,0,ananas
1255,ananas sciroppate,1,1,0,0,ananas
818,anatra,7,5,1,1,anatra
1674,anatra selvatica,5,1,0,4,anatra
3185,anelletti,1,1,0,0,anelletti
4474,anelli siciliani,2,0,2,0,anelli siciliani
282,aneto,105,31,73,1,aneto
727,angostura,6,5,1,0,angostura
3527,anguilla,3,3,0,0,anguille
3732,anguilla di orbetello,1,1,0,0,anguilla
3688,anguille,5,2,0,3,anguille
642,anguria,12,12,0,0,anguria
3152,anguria baby,1,1,0,0,anguria
3069,angurie,1,1,0,0,anguria
3455,anice,6,2,2,2,anice
4649,anice nero,1,0,1,0,nero di seppia
810,anice stellato,18,6,12,0,anice stellato
3798,anice stellato macinato,1,1,0,0,anice
2517,animelle,10,8,0,2,animelle
3954,animelle di vitello,2,1,1,0,animelle
2126,anistelle,1,1,0,0,anistelle
1839,aperol,3,1,2,0,aperol
4626,appenzeller,2,0,2,0,appenzeller
4171,apple brandy,1,1,0,0,apple brandy
3704,apricot,1,1,0,0,apricot
906,arachidi,15,7,8,0,arachidi
3884,arachidi pralinate,1,1,0,0,arachidi
4503,arachidi salate tostate,2,0,2,0,arachidi
1753,arachidi tostate,6,6,0,0,arachidi tostate
1219,aragosta,7,4,2,1,aragosta
3395,aragoste,3,2,0,1,aragosta
463,arance,145,70,73,2,arance
3775,arance al vivo,1,1,0,0,arance
2244,arance biologiche,3,3,0,0,arance
1404,arance bionde,2,2,0,0,arance
1593,arance candite,2,2,0,0,arance
2145,arance da spremuta,1,1,0,0,arance
4573,arance essicate,1,0,1,0,arance
2794,arance rosse,3,3,0,0,arance
3662,arance sanguinelle,2,2,0,0,arance
3760,arance siciliane,1,1,0,0,arance
280,arancia,185,180,0,5,arancia
1294,arancia biologica,1,1,0,0,arancia
510,arancia candita,48,16,30,2,arancia candita
2220,arancia candite,2,2,0,0,arancia
2856,arancia fresca,1,1,0,0,arancia
1220,arancia ribera navel,1,1,0,0,arancia
1296,aranciata amara,1,1,0,0,aranciata amara
3436,arancio,6,1,0,5,arancia
1528,aringa affumicata,1,1,0,0,aringa affumicata
3425,aringa affumicata dorata,2,2,0,0,aringa affumicata dorata
2629,aringhe,6,6,0,0,aringhe
1487,arista,6,2,4,0,arista
687,arista di maiale,7,3,0,4,arista
1149,armagnac,2,2,0,0,armagnac
4268,aroma al limone,1,0,1,0,aroma alla mandorla
4497,aroma al maraschino,1,0,1,0,aroma alla mandorla
4650,aroma al rum,1,0,1,0,aroma alla mandorla
4447,aroma all'arancia,2,0,2,0,aroma alla mandorla
4336,aroma alla mandorla,10,0,10,0,aroma alla mandorla
2877,aroma alla mandorla dolce,1,1,0,0,aroma alla mandorla
2198,aroma alle mandorle,1,1,0,0,aroma alla mandorla
4388,aroma di alchermes,1,0,1,0,aroma alla mandorla
4298,aroma di mandarino,1,0,1,0,aroma alla mandorla
654,aroma di mandorla,1,1,0,0,aroma alla mandorla
2197,aroma di vaniglia,3,3,0,0,aroma alla mandorla
2205,aroma mandorla dolce,1,1,0,0,aroma alla mandorla
1612,aromi,4,4,0,0,aroma alla mandorla
3171,aromi rosmarino,1,1,0,0,rosmarino
3465,arrosto di tacchino,1,1,0,0,arrosto di tacchino
3344,arrosto di vitello,1,1,0,0,arrosto di vitello
3804,arrotolata,1,1,0,0,arrotolata
1381,arrow,1,1,0,0,arrow
2030,arselle,3,3,0,0,arselle
1524,arzilla,1,1,0,0,arzilla
1426,asiago,22,2,19,1,asiago
2310,asiago mezzano,1,1,0,0,asiago
1619,asiago mezzano stagionato,1,1,0,0,asiago
3113,aspagari,1,1,0,0,aspagari
145,asparagi,164,81,71,12,asparagi
2202,asparagi bianchi,5,2,3,0,asparagi
915,asparagi di mare,2,1,1,0,asparagi
4642,asparagi selvatici,2,0,2,0,asparagi
591,asparagi verdi,16,15,0,1,asparagi verdi
3961,assenzio,2,1,0,1,assenzio
3761,asti spumante,1,1,0,0,spumante
1670,astice,5,1,4,0,astice
1153,astici,4,4,0,0,astice
2551,avena,4,1,3,0,avena
3624,avena decorticata,1,1,0,0,avena
3779,avocadi,2,2,0,0,avocado
139,avocado,134,81,53,0,avocado
4037,azzurro,1,1,0,0,azzurro
3677,aïoli,1,1,0,0,aïoli
3729,bacca di ginepro,1,1,0,0,baccalà
972,baccalà,41,14,3,24,baccalà
1057,baccalà ammollato,7,7,0,0,baccalà ammollato
2873,baccalà bagnato,1,1,0,0,baccalà
272,baccalà dissalato,29,11,18,0,baccalà dissalato
2414,baccalà lessato,2,2,0,0,baccalà
1873,baccalà mussillo,1,1,0,0,baccalà
3375,baccelli di cannella,1,1,0,0,baccelli di cannella
2602,baccelli di cardamomo,2,2,0,0,baccelli di cardamomo
2263,baccelli di vaniglia,2,2,0,0,baccelli di vaniglia
2814,baccello di vaniglia,444,1,443,0,baccello di vaniglia
2616,bacche di anice stellato,2,2,0,0,bacche di cardamomo
2698,bacche di cardamomo,4,4,0,0,bacche di ginepro
556,bacche di ginepro,58,26,32,0,bacche di ginepro
1030,bacche di goji,8,6,2,0,bacche di goji
1366,bacche di mirto,8,7,1,0,bacche di mirto
3219,bacche di tilfda,1,1,0,0,bacche di cardamomo
1325,bacche di vaniglia,6,6,0,0,bacche di vaniglia
705,bacon,37,19,18,0,bacon
1822,bacon affumicato,1,1,0,0,bacon
1090,baguette,21,9,12,0,baguette
1617,baguette croccante,1,1,0,0,baguette
3495,baguette di pane,1,1,0,0,baguette
2511,baileys,2,1,1,0,baileys
334,banana,21,21,0,0,banana
263,banane,54,26,28,0,banane
4666,bananito,1,0,1,0,bananito
1245,barba di finocchio,2,2,0,0,barba di frate
2299,barba di frate,12,2,10,0,barba di frate
737,barbabietola,10,10,0,0,barbabietola
1656,barbabietole,18,9,9,0,barbabietole
1489,barbabietole cotte,4,4,0,0,barbabietole
2503,barbabietole precotte,24,1,23,0,barbabietole precotte
2810,barbabietole rosse,2,2,0,0,barbabietole
1703,barbabietole rosse cotte,2,2,0,0,barbabietole
1756,barbabietole rosse precotte,1,1,0,0,barbabietole
4915,barbe di becco,1,0,0,1,barbera
3623,barbera,3,2,1,0,barbera
2634,barchette,3,3,0,0,barchette
3786,bargigli di gallo,1,1,0,0,bargigli di gallo
1681,barolo,8,5,2,1,barolo
3867,barolo chinato,1,1,0,0,barolo
46,basilico,942,475,416,51,basilico
1557,basilico greco,1,1,0,0,basilico
2927,basilico viola,1,1,0,0,basilico
4173,bastoncino,1,1,0,0,bastoncino
882,bavette,4,2,0,2,bavette
3901,bean koppert cress,1,1,0,0,bean koppert cress
4890,beccacce,1,0,0,1,beccacce
4564,berberè,2,0,2,0,berberè
2866,bergamotto,1,1,0,0,bergamotto
232,besciamella,109,105,0,4,besciamella
1781,besciamella di soia,1,1,0,0,besciamella
4338,bettelmatt,2,0,2,0,bettelmatt
4320,bevanda alla mandorla,1,0,1,0,bevanda di riso
1999,bevanda di cocco,2,2,0,0,bevanda di riso
1383,bevanda di mandorla,1,1,0,0,bevanda di riso
1443,bevanda di riso,3,3,0,0,bevanda di riso
1166,bevanda di soia,2,2,0,0,bevanda di riso
148,bevanda di soia naturale,2,2,0,0,bevanda di riso
4888,bianchi d'uovo,1,0,0,1,bianchi d'uovo
2295,bianco,4,4,0,0,biancostato di manzo
4465,biancostato di manzo,7,0,7,0,biancostato di manzo
225,bicarbonato,131,64,67,0,bicarbonato
152,bicarbonato d'ammonio,2,2,0,0,bicarbonato
1335,bicarbonato di sodio,9,9,0,0,bicarbonato di sodio
3763,bieta,2,2,0,0,biete
1639,biete,6,2,3,1,biete
1084,bietina,1,1,0,0,bietina
1102,bietola,5,5,0,0,bietole
587,bietole,47,24,19,4,bietole
1305,bietoline,1,1,0,0,bietoline
2886,biga,3,1,2,0,biga
1932,bignè,8,7,1,0,bignè
1183,bigoli,7,4,3,0,bigoli
1110,birra,19,10,9,0,birra
2246,birra ambrata,2,2,0,0,birra
4517,birra analcolica,4,0,4,0,birra
3354,birra artigianale,1,1,0,0,birra
320,birra bionda,2,2,0,0,birra
459,birra chiara,39,11,28,0,birra chiara
664,birra crow,2,2,0,0,birra
3768,birra doppio malto,2,1,0,1,birra
3107,birra duvel,1,1,0,0,birra
4583,birra guinness,2,0,2,0,birra
4034,birra leggera,1,1,0,0,birra
4330,birra rossa,14,0,14,0,birra rossa
2141,birra scura,13,3,10,0,birra scura
1802,birra scura tipo guinness,1,1,0,0,birra
1842,biscotti,8,5,2,1,biscotti
2264,biscotti ai cereali,2,2,0,0,biscotti
1331,biscotti al cacao,5,3,2,0,biscotti
660,biscotti al cioccolato,8,8,0,0,biscotti al cioccolato
3139,biscotti al plasmon,1,1,0,0,biscotti
2341,biscotti all'avena,3,2,1,0,biscotti
1359,biscotti allo zucchero di canna tipo digestive,1,1,0,0,biscotti
3254,biscotti di frolla,1,1,0,0,biscotti
4635,biscotti di grano saraceno,1,0,1,0,biscotti
650,biscotti di stelle,2,2,0,0,biscotti
990,biscotti digestive,40,3,37,0,biscotti digestive
3447,biscotti frolli,1,1,0,0,biscotti
4512,biscotti integrali,1,0,1,0,biscotti
2107,biscotti integrali tipo digestive,1,1,0,0,biscotti
4533,biscotti melighe,1,0,1,0,biscotti
2908,biscotti oreo,6,3,3,0,biscotti oreo
2714,biscotti salati,1,1,0,0,biscotti
1724,biscotti salati tipo,1,1,0,0,biscotti
1327,biscotti savoiardi,1,1,0,0,savoiardi
1018,biscotti secchi,44,20,24,0,biscotti secchi
1949,biscotti secchi ai cereali,3,3,0,0,biscotti
1434,biscotti secchi ai frutti rossi,1,1,0,0,biscotti
3154,biscotti secchi al cioccolato,9,1,8,0,biscotti secchi al cioccolato
909,biscotti secchi alla frutta,1,1,0,0,biscotti
4233,biscotti secchi integrali,1,0,1,0,biscotti
1705,biscotti secchi tipo digestive,6,6,0,0,biscotti secchi tipo digestive
1679,biscotti solubili,1,1,0,0,biscotti
2542,biscotti speziati,1,1,0,0,biscotti
17,biscotti tipo digestive,23,23,0,0,biscotti tipo digestive
3196,biscotti tipo speculoos,1,1,0,0,biscotti
4499,biscottini di novara,1,0,1,0,biscottini di novara
3309,biscottini glassati,1,1,0,0,biscottini glassati
1572,biscotto al cacao plasmon,2,2,0,0,biscotto al cacao plasmon
2360,biscotto plasmon,2,2,0,0,biscotto plasmon
3021,bistecca di manzo,1,1,0,0,bistecca di manzo
3957,bistecche di struzzo,1,1,0,0,bistecche di struzzo
4003,bitter,1,1,0,0,bitter
2085,bitter campari,1,1,0,0,bitter campari
1744,bitto,5,3,1,1,bitto
3902,blinq koppert cress,1,1,0,0,blinq koppert cress
4136,blu curacao,1,1,0,0,blu curacao
4569,blu di capra,1,0,1,0,blu di capra
4693,blue curaçao,1,0,1,0,blue curaçao
1501,boccioli di rosa,1,1,0,0,boccioli di rosa
1204,boccioli di rosa secchi,1,1,0,0,boccioli di rosa secchi
4849,boldrò,1,0,0,1,boldrò
4751,bonarda,1,0,1,0,bonarda
1626,borlotti,7,7,0,0,borlotti
2390,borlotti lessati,1,1,0,0,borlotti
3813,borlotti secchi,1,1,0,0,borlotti
1658,borragine,7,4,1,2,borragine
1543,borragine mondata,2,1,0,1,borragine
1127,bottarga,20,19,1,0,bottarga
4190,bottarga affumicata,1,1,0,0,bottarga
3744,bottarga di cabras,1,1,0,0,bottarga
488,bottarga di muggine,18,11,7,0,bottarga di muggine
2584,bottarga di muggine di cabras,1,1,0,0,bottarga
3731,bottarga di orbetello,1,1,0,0,bottarga
1365,bottarga di tonno,7,5,2,0,bottarga di tonno
2961,bottarga di trota,1,1,0,0,bottarga
3643,bouquet garni,1,1,0,0,bouquet garni
2311,bourbon,1,1,0,0,bourbon
4735,boursault,1,0,1,0,boursault
2754,bovino,1,1,0,0,bovino
4002,bovino macinato,1,1,0,0,bovino macinato
589,bra duro,1,1,0,0,braciole di maiale
3435,brachetto,1,1,0,0,brachetto
3097,braciola di maiale,1,1,0,0,braciola di maiale
2974,braciole di maiale,11,1,6,4,braciole di maiale
3520,bracioline d',1,1,0,0,bracioline d'
103,brandy,119,82,35,2,brandy
1089,brandy molto secco,1,1,0,0,brandy
2983,branzinetti,1,1,0,0,branzinetti
2724,branzini,1,1,0,0,branzino
94,branzino,29,8,16,5,branzino
4729,branzino affumicato,1,0,1,0,branzino
1967,brasato,2,2,0,0,brasato
532,bresaola,20,7,13,0,bresaola
370,brie,16,7,9,0,brie
4745,brigante,1,0,1,0,brigante
1848,brioche,2,2,0,0,brioche
3439,brioche semidolci,1,1,0,0,brioche semidolci
1080,broccoletti,8,5,3,0,broccoletti
156,broccoli,61,25,34,2,broccoli
4418,broccoli romaneschi,7,0,7,0,broccoli romaneschi
2519,broccoli verdi,2,2,0,0,broccoli
777,broccolo,14,14,0,0,broccolo
4139,broccolo romanesco,1,1,0,0,broccolo
1522,broccolo romano,1,1,0,0,broccolo
3075,broccolo verde,1,1,0,0,broccolo
296,brodo,208,171,13,24,brodo
2288,brodo caldo,2,2,0,0,brodo
875,brodo del vitello,1,1,0,0,brodo
2849,brodo di cappone,2,2,0,0,brodo
779,brodo di carne,161,70,60,31,brodo di carne
629,brodo di carne caldo,7,7,0,0,brodo di carne caldo
1218,brodo di dado,5,5,0,0,brodo
2408,brodo di funghi champignon,1,1,0,0,brodo
3326,brodo di gallina,1,1,0,0,brodo
3418,brodo di gallina sgrassato,1,1,0,0,brodo
489,brodo di manzo,13,8,3,2,brodo di manzo
308,brodo di pesce,26,18,7,1,brodo di pesce
1565,brodo di pollo,26,14,12,0,brodo di pollo
1329,brodo di verdure,1,1,0,0,brodo
3353,brodo di vitello,2,2,0,0,brodo
3091,brodo giapponese dashi,1,1,0,0,brodo
2666,brodo granulare di pesce,1,1,0,0,brodo
1577,brodo liofilizzato plasmon,1,1,0,0,brodo
816,brodo ristretto,3,3,0,0,brodo
118,brodo vegetale,569,250,298,21,brodo vegetale
3398,brovade,2,1,0,1,brovade
3057,bruscandoli,3,2,1,0,bruscandoli
3401,bruschette di pane casareccio,1,1,0,0,bruschette di pane casareccio
481,bucatini,25,11,10,4,bucatini
3810,bucatini fratelli setaro,1,1,0,0,bucatini
3861,buccia,2,2,0,0,buccia d'arancia
1785,buccia d'arancia,4,4,0,0,buccia d'arancia
824,buccia d'arancia candita,2,2,0,0,buccia d'arancia
4636,budino di cioccolato,1,0,1,0,budino di cioccolato
1647,bue,1,1,0,0,bue
943,bufala,12,12,0,0,bufala
3919,bufalo,1,1,0,0,bufala
2940,bulghur,1,1,0,0,bulghur
1137,bulgur,12,3,9,0,bulgur
4826,buon brandy,1,0,0,1,buon brandy
3312,burghul,1,1,0,0,burghul
456,burrata,27,5,22,0,burrata
3851,burrata naturale,1,1,0,0,burrata
18,burro,4588,2715,1621,252,burro
4065,burro ai capperi,1,1,0,0,burro
723,burro chiarificato,31,16,15,0,burro chiarificato
3112,burro classico,1,1,0,0,burro
1708,burro d'arachidi,2,2,0,0,burro
377,burro di arachidi,6,1,5,0,burro di arachidi
1384,burro di cacao,9,7,2,0,burro di cacao
4615,burro di cocco,1,0,1,0,burro
3299,burro di mandorle,1,1,0,0,burro
3808,burro di panna,1,1,0,0,burro
4519,burro di soia,1,0,1,0,burro
4234,burro light,1,0,1,0,burro
3802,burro misto,1,1,0,0,burro
4464,burro salato,3,0,3,0,burro
4455,burro vegano,1,0,1,0,burro
2199,burro vegetale,1,1,0,0,burro
1013,busiate,2,2,0,0,busiate
720,cacao,61,60,0,1,cacao
155,cacao amaro,462,218,237,7,cacao amaro
4726,cacao crudo,1,0,1,0,cacao
1077,cacao dolce,8,6,0,2,cacao dolce
1811,cacao zuccherato,6,3,3,0,cacao zuccherato
4715,cachaca,1,0,1,0,cachaca
3671,cachaça,1,1,0,0,cachaça
808,cachi,14,10,4,0,cachi
2236,cachi vaniglia,1,1,0,0,vaniglia
3492,cacio fresco maremmano,1,1,0,0,caciocavallo
217,caciocavallo,78,24,50,4,caciocavallo
3186,caciocavallo ragusano,3,3,0,0,caciocavallo
4429,caciocavallo silano,5,0,5,0,caciocavallo
1332,caciocavallo stagionato,1,1,0,0,caciocavallo
672,cacioricotta,4,4,0,0,cacioricotta
1706,caciotta,9,9,0,0,caciotta
3497,caciotta fresca,1,1,0,0,caciotta
4582,caciotta romana,3,0,3,0,caciotta
4585,caciottina,1,0,1,0,caciottina
3938,caciottina fresca,1,1,0,0,caciottina fresca
2643,caco,2,2,0,0,caco
4137,caffe di di riso,1,1,0,0,caffe di di riso
365,caffè,154,53,93,8,caffè
1758,caffè amaro,2,2,0,0,caffè
2776,caffè caldo,2,2,0,0,caffè
2428,caffè curry masala,1,1,0,0,caffè
1251,caffè della moka,6,6,0,0,caffè della moka
632,caffè espresso,14,14,0,0,caffè espresso
1448,caffè espresso nespresso,1,1,0,0,caffè
1841,caffè istantaneo,1,1,0,0,caffè
2007,caffè liofilizzato,7,7,0,0,caffè liofilizzato
3197,caffè macinato,3,3,0,0,caffè
3394,caffè ristretto,1,1,0,0,caffè
1312,caffè solubile,35,19,16,0,caffè solubile
942,caffè tostato,2,2,0,0,caffè
521,caffè zuccherato,2,2,0,0,caffè
2920,cagliata,1,1,0,0,cagliata
4052,caglio,2,1,1,0,caglio
4638,cajun,2,0,2,0,cajun
1740,calamarata,8,6,2,0,calamarata
3882,calamarata di faella,1,1,0,0,calamarata
487,calamaretti,15,15,0,0,calamaretti
4012,calamaretti spillo,1,1,0,0,calamaretti
38,calamari,93,47,40,6,calamari
2100,calamari abbastanza,1,1,0,0,calamari
3672,calamari verrigni,1,1,0,0,calamari
83,calamaro,7,7,0,0,calamaro
2308,caldarroste,2,2,0,0,caldarroste
3907,calle,1,1,0,0,calle
1906,calvados,8,8,0,0,calvados
1871,camembert,8,4,4,0,camembert
4846,camomilla,1,0,0,1,camomilla
3387,camoscio,1,1,0,0,camoscio
1835,campagnola,1,1,0,0,campagnola
1693,campari,4,2,2,0,campari
3100,campari soda,1,1,0,0,soda
3927,candele,1,1,0,0,candele
486,candite miste,1,1,0,0,candite miste
3269,candite rosse,1,1,0,0,candite rosse
968,canditi,9,6,2,1,canditi
2064,canditi misti,7,7,0,0,canditi misti
657,canestrelli,1,1,0,0,canestrelli
36,cannella,497,231,222,44,cannella
2127,cannella noce moscata,1,1,0,0,cannella
388,cannellini,10,10,0,0,cannellini
1548,cannellini secchi,1,1,0,0,cannellini
2768,cannelloni,1,1,0,0,cannelloni all'uovo
4478,cannelloni all'uovo,4,0,4,0,cannelloni all'uovo
4008,cannoli pastasfoglia,1,1,0,0,cannoli pastasfoglia
4630,cannolicchi,2,0,1,1,cannolicchi
2227,canocchie,12,5,6,1,canocchie
3071,cantalupo,1,1,0,0,cantalupo
4105,cantuccini,1,1,0,0,cantuccini
1158,capasanta,2,2,0,0,capasanta
4006,capasante,1,1,0,0,capasante
927,capelli d'angelo,2,2,0,0,capellini
2604,capellini,3,2,1,0,capellini
3979,capellini all'uovo,1,1,0,0,capellini
550,capesante,39,23,15,1,capesante
3553,capitone,3,2,0,1,capitone
2860,capocollo,3,1,2,0,capocollo
4905,capone,1,0,0,1,capone
4159,cappelle di funghi champignon,1,1,0,0,cappelle di funghi champignon
3083,cappelle di funghi porcini,2,2,0,0,cappelle di funghi porcini
3284,cappellettoni,1,1,0,0,cappellettoni
2247,cappello del prete,2,2,0,0,cappello del prete
201,capperi,151,106,22,23,capperi
2070,capperi di salina,2,2,0,0,capperi
92,capperi dissalati,30,30,0,0,capperi dissalati
239,capperi sott'aceto,48,20,28,0,capperi sott'aceto
1516,capperi sott'olio,11,8,3,0,capperi sott'olio
2719,capperi sotto aceto,1,1,0,0,capperi
78,capperi sotto sale,101,49,48,4,capperi sotto sale
1407,capperi sottosale,6,6,0,0,capperi sottosale
1363,capperini sott'aceto,1,1,0,0,capperini sott'aceto
2815,capperini sotto sale,2,2,0,0,capperini sotto sale
876,cappero dissalato,1,1,0,0,cappero dissalato
2381,cappesante,8,8,0,0,cappesante
807,cappone,13,9,3,1,cappone
3909,capra,2,1,0,1,capretto
869,capretto,7,2,2,3,capretto
4899,capretto nostrano,1,0,0,1,capretto
