,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
64,2 l di vino rosso cannonau,2 l di vino rosso cannonau,vino rosso cannonau,2 l,vino,vino rosso,219
65,aceto (facoltativo),aceto,aceto,,aceto,aceto,528
66,2 cipolle,2 cipolle,cipolle,2,cipolle,cipolla,1415
67,3 aglio,3 aglio,aglio,3,aglio,aglio,2572
68,4 foglie di alloro,4 foglie di alloro,alloro,4 foglie,alloro,alloro,451
69,4 pomodori secchi,4 pomodori secchi,pomodori secchi,4,pomodori secchi,pomodori secchi,141
70,60 g di olive sarde al finocchietto selvatico,60 g di olive sarde al finocchietto selvatico,olive,60 g,olive,olive,72
71,sale e pepe in grani,sale,sale,,sale,sale,9693
72,1 costa di sedano,1 costa di sedano,sedano,1 costa,sedano,sedano,796
73,1 ciuffo di prezzemolo,1 ciuffo di prezzemolo,prezzemolo,1 ciuffo,prezzemolo,prezzemolo,1668
74,1/2 bicchiere di olio extravergine di oliva,1/2 bicchiere di olio extravergine di oliva,olio extravergine di oliva,1/2 bicchiere,olio extravergine di oliva,olio extravergine d'oliva,4337
75,300 g di farina 00,300 g di farina 00,farina,300 g,farina,farina,2121
76,100 g di zucchero,100 g di zucchero,zucchero,100 g,zucchero,zucchero,4949
77,200 ml di latte,200 ml di latte,latte,200 ml,latte,latte,2242
78,80 g di uva passa,80 g di uva passa,uva passa,80 g,uva passa,uva passa,87
79,scorza grattugiata di 1 limone,scorza grattugiata di 1 limone,limone,1,limone,limone,1394
80,1 bustina di lievito per dolci,1 bustina di lievito,lievito,1 bustina,lievito,lievito,994
81,1 pizzico di sale,1 pizzico di sale,sale,1 pizzico,sale,sale,9693
82,zucchero a velo,zucchero,zucchero,,zucchero,zucchero,4949
83,olio di semi di arachidi,olio di semi di arachidi,olio di semi di arachidi,,olio di semi di arachidi,olio di arachide,339
84,500 g di lumache,500 g di lumache,lumache,500 g,lumache,lumache,10
85,1/2 kg di pomodori pelati,1/2 kg di pomodori pelati,pomodori pelati,1/2 kg,pomodori pelati,pomodori pelati,196
86,200 g di finocchio selvatico,200 g di finocchio selvatico,finocchio selvatico,200 g,finocchio,finocchi,98
87,1/2 bicchiere d'olio,1/2 bicchiere d'olio,olio,1/2 bicchiere,olio,olio,2191
88,peperoncino macinato,peperoncino macinato,peperoncino macinato,,peperoncino,peperoncino,468
89,300 g di riso,300 g di riso,riso,300 g,riso,riso,289
90,mezzo litro di brodo di carne,mezzo litro di brodo di carne,brodo di carne,mezzo litro,brodo di carne,brodo di carne,219
91,mezzo litro di barolo,mezzo litro di barolo,barolo,mezzo litro,barolo,barolo,9
92,parmigiano reggiano grattugiato,parmigiano reggiano grattugiato,parmigiano reggiano,,parmigiano reggiano,parmigiano reggiano dop,1291
93,una cipolla,una cipolla,cipolla,una,cipolla,cipolla,1415
94,burro,burro,burro,,burro,burro,4606
95,500 g di primosale,500 g di primosale,primosale,500 g,primosale,primosale,19
96,farina,farina,farina,,farina,farina,2121
97,70 g di sarde,70 g di sarde,sarde,70 g,sarde,sarde,32
98,300 gr di farro,300 gr di farro,farro,300 gr,farro,farro,31
99,250 gr di rape,250 gr di rape,rape,250 gr,rape,rape,38
100,400 gr. di bucatini,400 gr. di bucatini,bucatini,400 gr .,bucatini,bucatini,26
101,8 sarde fresche,8 sarde fresche,sarde,8,sarde,sarde,32
102,2 acciughe sotto sale,2 acciughe sotto sale,acciughe sotto sale,2,acciughe sotto sale,acciughe,403
103,200 gr. di finocchietto selvatico,200 gr. di finocchietto selvatico,finocchietto selvatico,200 gr .,finocchietto selvatico,finocchietto selvatico,96
104,100 gr. di pinoli,100 gr. di pinoli,pinoli,100 gr .,pinoli,pinoli,392
105,1 bustina si zafferano,1 bustina si zafferano,zafferano,1 bustina si,zafferano,zafferano,177
106,sale grosso,sale grosso,sale,,sale,sale,9693
107,pepe nero,pepe nero,pepe nero,,pepe nero,pepe,5844
108,1 kg di baccalà,1 kg di baccalà,baccalà,1 kg,baccalà,baccalà,94
109,patate,patate,patate,,patate,patate,1000
110,700 gr. di baccalà,700 gr. di baccalà,baccalà,700 gr .,baccalà,baccalà,94
111,1 bicchiere di olio d'oliva,1 bicchiere di olio d'oliva,olio d'oliva,1 bicchiere,olio d'oliva,olio d'oliva,122
112,sedano,sedano,sedano,,sedano,sedano,796
113,carota,carota,carota,,carota,carote,1077
114,cipolla,cipolla,cipolla,,cipolla,cipolla,1415
115,400 gr. di patate,400 gr. di patate,patate,400 gr .,patate,patate,1000
116,1 patata,1 patata,patata,1,patata,patate,1000
117,1 cucchiaio di senape,1 cucchiaio di senape,senape,1 cucchiaio,senape,senape,236
118,2 filetti di alici,2 filetti di alici,filetti di alici,2,filetti di alici,acciughe,403
119,1 cetriolo sottaceto,1 cetriolo sottaceto,cetrioli sott'aceto,1,cetrioli,cetriolini sott'aceto,48
120,4 trote,4 trote,trote,4,trota,trota,13
121,salvia,salvia,salvia,,salvia,salvia,484
122,maggiorana,maggiorana,maggiorana,,maggiorana,maggiorana,288
123,rosmarino,rosmarino,rosmarino,,rosmarino,rosmarino,850
124,timo,timo,timo,,timo,timo,874
125,50 gr di burro,50 gr di burro,burro,50 gr,burro,burro,4606
126,500 g di semola,500 g di semola,semola,500 g,semola,semola,144
127,1/2 cubetto di lievito di birra,1/2 cubetto di lievito di birra,lievito di birra,1/2,lievito di birra,lievito di birra,364
128,acqua,acqua,acqua,,acqua,acqua,1976
129,zucchero,zucchero,zucchero,,zucchero,zucchero,4949
130,500 g di patate,500 g di patate,patate,500 g,patate,patate,1000
131,2 cucchiai di strutto,2 cucchiai di strutto,strutto,2 cucchiai,strutto,strutto,134
132,1/2 cipolla,1/2 cipolla,cipolla,1/2,cipolla,cipolla,1415
133,1 spicchio d'aglio,1 spicchio d'aglio,aglio,1 spicchio,aglio,aglio,2572
134,1/2 mazzetto di menta fresca (o un cucchiaio di menta secca),1/2 mazzetto di menta fresca,menta fresca,1/2 mazzetto,menta fresca,menta,533
135,50 g di formaggio salato (frue) o 200 g di fisciù (formaggio acidulo in salamoia),50 g di formaggio salato,formaggio salato,50 g,formaggio,formaggio,264
136,320 g di maccheroni,320 g di maccheroni,maccheroni,320 g,maccheroni,maccheroni,25
137,50 g di prosciutto crudo,50 g di prosciutto crudo,prosciutto crudo,50 g,prosciutto crudo,prosciutto crudo,182
138,6 carciofi,6 carciofi,carciofi,6,carciofi,carciofi,222
139,mezza cipolla,mezza cipolla,cipolla,mezza,cipolla,cipolla,1415
140,70 g di salsiccia,70 g di salsiccia,salsiccia,70 g,salsiccia,salsiccia,225
141,70 g di fave,70 g di fave,fave,70 g,fave,fave,103
142,150 g di polpa di pomodoro,150 g di polpa di pomodoro,polpa di pomodoro,150 g,polpa di pomodoro,polpa di pomodoro,49
143,1 kg di zucchine,1 kg di zucchine,zucchine,1 kg,zucchine,zucchine,654
144,400 gr di pomodori,400 gr di pomodori,pomodori,400 gr,pomodori,pomodori,634
145,300 g di fagioli,300 g di fagioli,fagioli,300 g,fagioli,fagioli,87
146,50 g di lardo,50 g di lardo,lardo,50 g,lardo,lardo,114
147,brodo di carne,brodo di carne,brodo di carne,,brodo di carne,brodo di carne,219
148,un pezzetto di salamino sotto sugna,un pezzetto di salamino sotto sugna,salamino,un pezzetto,salamino,salame,59
149,cotica di maiale,cotica di maiale,cotica di maiale,,cotica di maiale,cotenna di suino,25
150,1 kg di cozze,1 kg di cozze,cozze,1 kg,cozze,cozze,115
151,400 gr di riso,400 gr di riso,riso,400 gr,riso,riso,289
152,4 patate,4 patate,patate,4,patate,patate,1000
153,1/2 kg di pomodori,1/2 kg di pomodori,pomodori,1/2 kg,pomodori,pomodori,634
154,formaggio grattuggiato,formaggio grattuggiato,formaggio grattuggiato,,formaggio,formaggio,264
155,"1 anatra da 1,5 kg","1 anatra da 1,5 kg",anatra,1,anatra,carne di anatra,27
156,10-12 rametti di mirto,10-12 rametti di mirto,mirto,10 - 12 rametti,mirto,mirto,20
157,pane carasau,pane carasau,pane carasau,,pane carasau,pane carasau,9
158,500 g di carme di manzo,500 g di carme di manzo,carme di manzo,500 g,carme di manzo,carne di bovino,492
159,100 g di orzo perlato,100 g di orzo perlato,orzo perlato,100 g,orzo perlato,orzo perlato,37
160,3 coste di sedano,3 coste di sedano,sedano,3,sedano,sedano,796
161,2 carote,2 carote,carote,2,carote,carote,1077
162,1 spichhio d'aglio,1 spichhio d'aglio,aglio,1,aglio,aglio,2572
163,1 ciuffetto di prezzemolo,1 ciuffetto di prezzemolo,prezzemolo,1,prezzemolo,prezzemolo,1668
164,2 foglie d'alloro,2 foglie d'alloro,alloro,2 foglie,alloro,alloro,451
165,1 porro,1 porro,porro,1,porro,porri,299
166,120 g di speck,120 g di speck,speck,120 g,speck,speck,139
167,200 g di carne di maiale affumicata,200 g di carne di maiale affumicata,carne di maiale affumicata,200 g,carne,carne di suino,202
168,3 cucchiai di olio extravergine d'oliva,3 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,3 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
169,500 gr di peperoni,500 gr di peperoni,peperoni,500 gr,peperoni,peperoni,612
170,8 uova,8 uova,uova,8,uova,uova,3872
171,8 pomodori,8 pomodori,pomodori,8,pomodori,pomodori,634
172,basilico,basilico,basilico,,basilico,basilico,944
173,peperoncino,peperoncino,peperoncino,,peperoncino,peperoncino,468
174,400 g di semola,400 g di semola,semola,400 g,semola,semola,144
175,300 g di pecoroino sardo fresco,300 g di pecoroino sardo fresco,pecorino sardo,300 g,pecorino sardo,pecorino,519
176,100 g di miele di corbezzolo (miele amaro),100 g di miele di corbezzolo,miele di corbezzolo,100 g,miele,miele,335
177,30 g di strutto,30 g di strutto,strutto,30 g,strutto,strutto,134
178,"2,5 dl di olio extraverhine d'oliva (oppure olio di arachidi)","2,5 dl di olio extraverhine d'oliva",olio extravergine d'oliva,"2,5 dl",olio extravergine d'oliva,olio extravergine d'oliva,4337
179,1 kg di cardi,1 kg di cardi,cardi,1 kg,cardi,cardi,19
180,acciughe sotto sale,acciughe sotto sale,acciughe sotto sale,,acciughe sotto sale,acciughe,403
181,capperi,capperi,capperi,,capperi,capperi,366
182,olive nere,olive nere,olive nere,,olive nere,olive nere,244
183,pecorino grattugiato,pecorino grattugiato,pecorino,,pecorino,pecorino,519
184,8 melenzane,8 melenzane,melenzane,8,melenzane,melanzane,295
185,1 cucchiaino di aceto,1 cucchiaino di aceto,aceto,1 cucchiaino,aceto,aceto,528
186,origano,origano,origano,,origano,origano,397
187,8 foglioline di menta,8 foglioline di menta,menta,8 foglioline,menta,menta,533
188,1 cucchiaino di zucchero,1 cucchiaino di zucchero,zucchero,1 cucchiaino,zucchero,zucchero,4949
189,750  g di agnello,750  g di agnello,agnello,750 g,agnello,carne di agnello,57
190,300 g di patate,300 g di patate,patate,300 g,patate,patate,1000
191,,,,,,,
192,1 spicchio d’aglio,1 spicchio d’aglio,aglio,1 spicchio,aglio,aglio,2572
193,1/2 l di brodo di carne,1/2 l di brodo di carne,brodo di carne,1/2 l,brodo di carne,brodo di carne,219
194,1 pizzico di paprica forte,1 pizzico di paprica forte,paprica forte,1 pizzico,paprica,paprika,272
195,1/2  bicchiere di vino rosso,1/2  bicchiere di vino rosso,vino rosso,1/2 bicchiere,vino rosso,vino rosso,219
196,2 foglie d’alloro,2 foglie d’alloro,alloro,2 foglie,alloro,alloro,451
197,1 rametto di rosmarino,1 rametto di rosmarino,rosmarino,1 rametto,rosmarino,rosmarino,850
198,2 foglie di salvia,2 foglie di salvia,salvia,2 foglie,salvia,salvia,484
199,1 rametto di timo,1 rametto di timo,timo,1 rametto,timo,timo,874
200,4 cucchiai di olio extravergine d’oliva,4 cucchiai di olio extravergine d’oliva,olio extravergine d'oliva,4 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
201,800 gr. di patate,800 gr. di patate,patate,800 gr,patate,patate,1000
202,300 gr. di farina,300 gr. di farina,farina,300 gr .,farina,farina,2121
203,200 gr. di erbette,200 gr. di erbette,erbette,200 gr .,erbette,erbette,30
204,100 gr. di burro,100 gr. di burro,burro,100 gr .,burro,burro,4606
205,un rosso d'uovo,un rosso d'uovo,tuorlo d'uovo,un,tuorlo d'uovo,tuorli,1385
206,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano,,parmigiano reggiano,parmigiano reggiano dop,1291
207,1 kg di alici,1 kg di alici,alici,1 kg,alici,alici,44
208,limone,limone,limone,,limone,limone,1394
209,olio extavergine d'oliva,olio extavergine d'oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
210,1 kg di coda di pescatrice,1 kg di coda di pescatrice,coda di pescatrice,1 kg,coda di bue,coda di rospo,28
211,10 pomodorini,10 pomodorini,pomodorini,10,pomodorini,pomodorini,142
212,3 patate,3 patate,patate,3,patate,patate,1000
213,cozze,cozze,cozze,,cozze,cozze,115
214,olio extravergine,olio extravergine,olio extravergine,,olio extravergine,olio extravergine d'oliva,4337
215,pane grattugiato,pane grattugiato,pane,,pane,pane,363
216,400 g di mascolini,400 g di mascolini,mascolini,400 g,mascolini,mascolini,2
217,400 g di maccheroncini,400 g di maccheroncini,maccheroncini,400 g,maccheroncini,maccheroncini,16
218,80 g di pecorino grattugiato,80 g di pecorino grattugiato,pecorino,80 g,pecorino,pecorino,519
219,2 spicchi d’aglio,2 spicchi d’aglio,aglio,2 spicchi,aglio,aglio,2572
220,4 mazzi di finocchio riccio di montagna (finocchietti),4 mazzi di finocchio riccio di montagna,finocchio,4 mazzi,finocchio,finocchi,98
221,olio extravergine d’oliva,olio extravergine d’oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
222,100 gr di tartufo nero di norcia,100 gr di tartufo nero di norcia,tartufo nero di norcia,100 gr,tartufo,tartufo nero,44
223,2 cucchiai di strutto oppure olio extravergine d'oliva,2 cucchiai di strutto,strutto,2 cucchiai,strutto,strutto,134
224,8 fette di frisedda,8 fette di frisedda,,8 fette,,,
225,pomodori freschi,pomodori freschi,pomodori,,pomodori,pomodori,634
226,olio extra vergine d'oliva,olio extra vergine d'oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
227,400 g di bavette,400 g di bavette,bavette,400 g,bavette,bavette,4
228,4 spicchi d'aglio,4 spicchi d'aglio,aglio,4 spicchi,aglio,aglio,2572
229,1 bicchiere di vino rosso,1 bicchiere di vino rosso,vino rosso,1 bicchiere,vino rosso,vino rosso,219
230,50 g di acciughe salate,50 g di acciughe salate,acciughe salate,50 g,acciughe salate,acciughe,403
231,150 g di passata di pomodoro,150 g di passata di pomodoro,passata di pomodoro,150 g,passata di pomodoro,passata di pomodoro,374
232,80 g di pangrattato,80 g di pangrattato,pangrattato,80 g,pangrattato,pangrattato,834
233,1/2 bicchiere di olio extravergine d’oliva,1/2 bicchiere di olio extravergine d’oliva,olio extravergine d'oliva,1/2 bicchiere,olio extravergine d'oliva,olio extravergine d'oliva,4337
234,300 g di semola,300 g di semola,semola,300 g,semola,semola,144
235,2 spicchi d'aglio,2 spicchi d'aglio,aglio,2 spicchi,aglio,aglio,2572
236,800 g di patate rosse,800 g di patate rosse,patate rosse,800 g,patate rosse,patate,1000
237,5-6 foglie di menta,5-6 foglie di menta,menta,5 - 6 foglie,menta,menta,533
238,300 g di pecorino stagionato grattugiato,300 g di pecorino stagionato grattugiato,pecorino stagionato,300 g,pecorino stagionato,pecorino,519
239,1/2 bicchiere di olio extravergine d'oliva,1/2 bicchiere di olio extravergine d'oliva,olio extravergine d'oliva,1/2 bicchiere,olio extravergine d'oliva,olio extravergine d'oliva,4337
240,150 g di toma di gressoney,150 g di toma di gressoney,toma di gressoney,150 g,toma,toma,20
241,270 g di farina di mais,270 g di farina di mais,farina di mais,270 g,farina di mais,farina di mais,144
242,700 g di burro,700 g di burro,burro,700 g,burro,burro,4606
243,ingredienti per quattro persone:,ingredienti,,,,,
244,300 gr. di pane toscano raffermo,300 gr. di pane toscano raffermo,pane toscano raffermo,300 gr .,pane,pane toscano,26
245,"500 gr. di pomodori maturi o ""pelati""",500 gr. di pomodori maturi,pomodori,500 gr,pomodori,pomodori,634
246,2 patate,2 patate,patate,2,patate,patate,1000
247,una costa di sedano,una costa di sedano,sedano,una costa,sedano,sedano,796
248,8 carciofi,8 carciofi,carciofi,8,carciofi,carciofi,222
249,1 l di aceto di vino bianco,1 l di aceto di vino bianco,aceto di vino bianco,1 l,aceto di vino bianco,aceto,528
250,1 l e mezzo di vino bianco secco,1 l,,,,,
251,chiodi di garofano,chiodi di garofano,chiodi di garofano,,chiodi di garofano,chiodi di garofano,180
252,pepe rosa in grani,pepe rosa,pepe rosa,,pepe rosa,pepe,5844
253,pepe nero in grani,pepe nero,pepe nero,,pepe nero,pepe,5844
254,60 g di sale grosso,60 g di sale grosso,sale,60 g,sale,sale,9693
255,pepe in grani,pepe,pepe,,pepe,pepe,5844
256,1 kg di agnello,1 kg di agnello,di agnello,1 kg,dischetti di pasta,di agnello,7
257,olive verdi,olive verdi,olive verdi,,olive verdi,olive verdi,119
258,500 gr. di patate,500 gr. di patate,patate,500 gr,patate,patate,1000
259,3 cipolle,3 cipolle,cipolle,3,cipolle,cipolla,1415
260,1 bicchiere di vino bianco,1 bicchiere di vino bianco,vino bianco,1 bicchiere,vino bianco,vino bianco,1177
261,360 g di semola,360 g di semola,semola,360 g,semola,semola,144
262,1 bustina di zafferano,1 bustina di zafferano,zafferano,1 bustina,zafferano,zafferano,177
263,1 dl di olio extravergine di oliva,1 dl di olio extravergine di oliva,olio extravergine di oliva,1 dl,olio extravergine di oliva,olio extravergine d'oliva,4337
264,1 mazzetto di prezzemolo,1 mazzetto di prezzemolo,prezzemolo,1 mazzetto,prezzemolo,prezzemolo,1668
265,300 g di salsiccia sarda fresca,300 g di salsiccia sarda fresca,salsiccia sarda,300 g,salsiccia,salsiccia,225
266,2 dl di vino bianco secco,2 dl di vino bianco secco,vino bianco secco,2 dl,vino bianco secco,vino bianco,1177
267,400 g di pomodori maturi,400 g di pomodori maturi,pomodori,400 g,pomodori,pomodori,634
268,100 g di pecorino sardo,100 g di pecorino sardo,pecorino sardo,100 g,pecorino sardo,pecorino,519
269,sale e pepe,sale,sale,,sale,sale,9693
270,200 g farina 00,200 g farina 00,farina,200 g,farina,farina,2121
271,25 grammi burro fuso,25 grammi burro fuso,burro,25 grammi,burro,burro,4606
272,250 ml di latte,250 ml di latte,latte,250 ml,latte,latte,2242
273,30 g di zucchero,30 g di zucchero,zucchero,30 g,zucchero,zucchero,4949
274,20 ml di grappa bianca,20 ml di grappa bianca,grappa bianca,20 ml,grappa,grappa,56
275,marmellata di mirtilli o frutti di bosco a piacere,marmellata di mirtilli,marmellata di mirtilli,,marmellata,marmellata,46
276,1 kg di fiori di zucca,1 kg di fiori di zucca,fiori di zucca,1 kg,fiori di zucca,fiori di zucca,68
277,200 g di pangrattato,200 g di pangrattato,pangrattato,200 g,pangrattato,pangrattato,834
278,200 g di farina 00,200 g di farina 00,farina,200 g,farina,farina,2121
279,400 grammi di farina bianca tipo 0,400 grammi di farina bianca tipo 0,farina bianca tipo 0,400 grammi,farina,farina 0,181
280,4 uova,4 uova,uova,4,uova,uova,3872
281,2 cucchiai di olio extravergine di oliva,2 cucchiai di olio extravergine di oliva,olio extravergine di oliva,2 cucchiai,olio extravergine di oliva,olio extravergine d'oliva,4337
282,200 grammi di spinaci,200 grammi di spinaci,spinaci,200 grammi,spinaci,spinaci,245
283,300 grammi di ricotta fresca di pecora,300 grammi di ricotta fresca di pecora,ricotta di pecora,300 grammi,ricotta di pecora,ricotta di pecora,63
284,100 gr. parmigiano,100 gr. parmigiano,parmigiano,100 gr,parmigiano,parmigiano reggiano dop,1291
285,olio extravergine di oliva,olio extravergine di oliva,olio extravergine di oliva,,olio extravergine di oliva,olio extravergine d'oliva,4337
286,1 cipolla rossa,1 cipolla rossa,cipolla,1,cipolla,cipolla,1415
287,un ciuffetto di prezzemolo,un ciuffetto di prezzemolo,prezzemolo,un,prezzemolo,prezzemolo,1668
288,pepe nero\r,pepe nero\r,,,,,
289,qualche foglia di alloro,qualche foglia di alloro,alloro,qualche foglia,alloro,alloro,451
290,150 gr. di macinato di prima scelta di chianina,150 gr. di macinato di prima scelta di chianina,macinato di bovino,150 gr .,macinato di maiale,macinato di bovino,51
291,150 gr. di carne magra macinata di maiale,150 gr. di carne magra macinata di maiale,carne macinata di maiale,150 gr,carne,macinato di suino,21
292,1 salsiccia,1 salsiccia,salsiccia,1,salsiccia,salsiccia,225
293,"1,5 l di passata di pomodoro","1,5 l di passata di pomodoro",passata di pomodoro,"1,5 l",passata di pomodoro,passata di pomodoro,374
294,1/2 bicchiere di vino rosso toscano,1/2 bicchiere di vino rosso toscano,vino rosso,1/2 bicchiere,vino rosso,vino rosso,219
295,800 g di polenta fredda,800 g di polenta fredda,polenta,800 g,polenta,polenta,26
296,300 g di  toma,300 g di  toma,toma,300 g,toma,toma,20
297,200  g di carne di bovino macinata,200  g di carne di bovino macinata,carne di bovino macinata,200 g,carne,macinato di bovino,51
298,1 scatola pomodori pelati,1 scatola pomodori pelati,scatola di pelati,1,scatola di pelati,pomodori pelati,196
299,70  burro,70  burro,burro,70,burro,burro,4606
300,2 cucchiai di olio extravergine d’oliva,2 cucchiai di olio extravergine d’oliva,olio extravergine d'oliva,2 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
301,600 gr. di pesce spada fresco,600 gr. di pesce spada fresco,pesce spada,600 gr .,pesce spada,pesce spada,66
302,pepe bianco,pepe bianco,pepe bianco,,pepe bianco,pepe,5844
303,prezzemolo tritato,prezzemolo tritato,prezzemolo,,prezzemolo,prezzemolo,1668
304,400 g di spaghetti,400 g di spaghetti,spaghetti,400 g,spaghetti,spaghetti,201
