,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
20,400 g di ricotta,400 g di ricotta,ricotta,400 g,ricotta,ricotta,ricotta,324,,,,,
21,70 g di zucchero semolato,70 g di zucchero semolato,zucchero semolato,70 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
22,la scorza grattugiata di 1 limone non trattato,la scorza grattugiata di 1 limone,limone,1,limone,limone,limone,1394,,,,,
23,4-5 kiwi,4-5 kiwi,kiwi,4 - 5,kiwi,kiwi,kiwi,47,,,,,
24,gelatina alimentare a spruzzo,gelatina alimentare,gelatina alimentare,,gelatina alimentare,gelatina alimentare,gelatina,429,,,,,
25,6 uova,6 uova,uova,6,uova,uova,uova,3872,,,,,
26,24 fiori di zucca,24 fiori di zucca,di zucca,24 fiori,zucca,zucca,zucca,226,,,,,
27,40 g di Parmigiano Reggiano grattugiato,40 g di parmigiano reggiano grattugiato,parmigiano reggiano,40 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
28,olio extravergine di oliva,olio extravergine di oliva,olio extravergine di oliva,,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
29,pepe nero,pepe nero,pepe nero,,pepe nero,pepe nero,pepe,5844,,,,,
30,4 tuorli,4 tuorli,tuorli,4,tuorli,tuorli,tuorli,1385,,,,,
31,100 g di zucchero semolato,100 g di zucchero semolato,zucchero semolato,100 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
32,30 g di farina,30 g di farina,farina,30 g,farina,farina,farina,2121,,,,,
33,250 ml di latte intero,250 ml di latte intero,latte intero,250 ml,latte,latte,latte,2242,,,,,
34,250 ml di latte di cocco,250 ml di latte di cocco,latte di cocco,250 ml,latte di cocco,latte di cocco,latte di cocco,57,,,,,
35,1 baccello di vaniglia (o scorza di 1 limone),1 baccello di vaniglia,vaniglia,1 baccello,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
36,250 g di farina integrale,250 g di farina integrale,farina integrale,250 g,farina integrale,farina integrale,farina integrale,108,,,,,
37,150 g di burro freddo,150 g di burro freddo,burro,150 g,burro,burro,burro,4606,,,,,
38,100 g di zucchero a velo,100 g di zucchero,zucchero,100 g,zucchero,zucchero,zucchero,4949,,,,,
39,2 tuorli,2 tuorli,tuorli,2,tuorli,tuorli,tuorli,1385,,,,,
40,100 g di burro morbido,100 g di burro morbido,burro,100 g,burro,burro,burro,4606,,,,,
41,100 g di farina di nocciole,100 g di farina di nocciole,farina di nocciole,100 g,farina di nocciole,farina di nocciole,farina di nocciole,53,,,,,
42,30 g di farina 00,30 g di farina 00,farina,30 g,farina,farina,farina,2121,,,,,
43,1 uovo,1 uovo,uovo,1,uovo,uovo,uova,3872,,,,,
44,cannella,cannella,cannella,,cannella,cannella,cannella,499,,,,,
45,500 g di ciliegie di Vignola,500 g di ciliegie di vignola,ciliegie di vignola,500 g,ciliegie di vignola,ciliegie,ciliegie,86,,,,,
46,4 grandi calamari freschi interi e puliti,4 grandi calamari freschi interi e puliti,calamari,4,calamari,calamari,calamari,102,,,,,
47,300 g di fagioli cannellini già lessati,300 g di fagioli cannellini,fagioli cannellini,300 g,fagioli cannellini,fagioli cannellini,fagioli cannellini,61,,,,,
48,40 g di pecorino romano grattugiato,40 g di pecorino romano grattugiato,pecorino romano,40 g,pecorino romano,pecorino romano,pecorino,519,,,,,
49,1 spicchio di aglio,1 spicchio di aglio,aglio,1 spicchio,aglio,aglio,aglio,2572,,,,,
50,1 bicchiere di vino bianco,1 bicchiere di vino bianco,vino bianco,1 bicchiere,vino bianco,vino bianco,vino bianco,1177,,,,,
51,1 limone non trattato,1 limone,limone,1,limone,limone,limone,1394,,,,,
52,maggiorana,maggiorana,maggiorana,,maggiorana,maggiorana,maggiorana,288,,,,,
53,pepe nero macinato fresco,pepe nero macinato fresco,pepe nero macinato,,pepe nero macinato,pepe nero macinato,pepe,5844,,,,,
54,300 g di pomodori,300 g di pomodori,pomodori,300 g,pomodori,pomodori,pomodori,634,,,,,
55,1/2 spicchio d’aglio,1/2 spicchio d'aglio,d' aglio,1/2 spicchio,aglio,aglio,aglio,2572,,,,,
56,basilico,basilico,basilico,,basilico,basilico,basilico,944,,,,,
57,pepe,pepe,pepe,,pepe,pepe,pepe,5844,,,,,
58,la scorza di 1 limone non trattato,la scorza di 1 limone,limone,1,limone,limone,limone,1394,,,,,
59,50 g di zucchero semolato,50 g di zucchero semolato,zucchero semolato,50 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
60,30 g di amido di mais,30 g di amido di mais,amido di mais,30 g,amido di mais,amido di mais,amido di mais,322,,,,,
61,150 ml di panna montata,150 ml di panna montata,panna,150 ml,panna,panna,panna fresca,1860,,,,,
62,40 g di zucchero a velo,40 g di zucchero,zucchero,40 g,zucchero,zucchero,zucchero,4949,,,,,
63,lamponi,lamponi,lamponi,,lamponi,lamponi,lamponi,214,,,,,
64,foglioline di menta fresca,foglioline di menta fresca,menta fresca,foglioline,menta fresca,menta fresca,menta,533,,,,,
65,zucchero a velo,zucchero,zucchero,,zucchero,zucchero,zucchero,4949,,,,,
66,800 g di patate a pasta gialla,800 g di patate,patate,800 g,patate,patate,patate,1000,,,,,
67,1 spicchio d’aglio,1 spicchio d'aglio,d' aglio,1 spicchio,aglio,aglio,aglio,2572,,,,,
68,1 rametto di rosmarino,1 rametto di rosmarino,rosmarino,1 rametto,rosmarino,rosmarino,rosmarino,850,,,,,
69,4 piadine all’olio,4 piadine all'olio,all' olio,4 piadine,olio,olio,olio,2191,,,,,
70,4 mozzarelle da 125 g,4 mozzarelle da 125 g,,,,,,,,,,,
71,1 peperone rosso,1 peperone rosso,peperone rosso,1,peperone rosso,peperone rosso,peperoni,612,,,,,
72,1 peperone giallo,1 peperone giallo,peperone giallo,1,peperone giallo,peperone giallo,peperoni,612,,,,,
73,200 g di porchetta a fette sottili,200 g di porchetta,porchetta,200 g,porchetta,porchetta,porchetta,3,,,,,
74,basilico fresco,basilico fresco,basilico,,basilico,basilico,basilico,944,,,,,
75,200 g di macinato di carne,200 g di macinato di carne,macinato di carne,200 g,macinato di carne,macinato di maiale,macinato,13,,,,,
76,100 g di scamorza,100 g di scamorza,scamorza,100 g,scamorza,scamorza,scamorza,97,,,,,
77,pane raffermo qb,pane raffermo qb,pane raffermo,qb,pane raffermo,pane raffermo,pane raffermo,106,,,,,
78,sale qb,sale qb,sale,qb,sale,sale,sale,9693,,,,,
79,pepe qb,pepe qb,pepe,qb,pepe,pepe,pepe,5844,,,,,
80,2 cucchiai di parmigiano,2 cucchiai di parmigiano,parmigiano,2 cucchiai,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
81,olio extravergine di oliva qb,olio extravergine di oliva qb,olio extravergine di oliva,qb,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
82,700 g di yogurt greco,700 g di yogurt greco,yogurt greco,700 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
83,2 cucchiai di sciroppo di agave,2 cucchiai di sciroppo di agave,sciroppo di agave,2 cucchiai,sciroppo di agave,sciroppo alla fragola,sciroppo d'agave,4,,,,,
84,4 cucchiai di muesli al cioccolato,4 cucchiai di muesli al cioccolato,muesli al cioccolato,4 cucchiai,muesli al cioccolato,muesli,muesli,10,,,,,
85,15 g di granella di pistacchi,15 g di granella di pistacchi,granella di pistacchi,15 g,granella di pistacchi,granella di pistacchi,granella di pistacchi,70,,,,,
86,12 lamponi,12 lamponi,lamponi,12,lamponi,lamponi,lamponi,214,,,,,
87,menta,menta,menta,,menta,menta,menta,533,,,,,
88,"280 g di frutti rossi misti (fragole,  mirtilli,  lamponi)",280 g di frutti rossi misti,frutti rossi misti,280 g,frutti rossi misti,frutti della passione,frutti rossi,10,,,,,
89,60 g di zucchero di canna,60 g di zucchero di canna,zucchero di canna,60 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
90,2 cucchiai di succo di limone,2 cucchiai di succo di limone,succo di limone,2 cucchiai,succo di limone,succo di limone,succo di limone,599,,,,,
91,100 g di zucchero,100 g di zucchero,zucchero,100 g,zucchero,zucchero,zucchero,4949,,,,,
92,1/2 litro di latte,1/2 litro di latte,latte,1/2 litro,latte,latte,latte,2242,,,,,
93,vaniglia o buccia di limone grattugiata,vaniglia o buccia di limone grattugiata,vaniglia,,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
94,700 g di salmone fresco senza pelle,700 g di salmone fresco,salmone,700 g,salmone,salmone,salmone,173,,,,,
95,2 lime,2 lime,lime,2,lime,lime,lime,135,,,,,
96,4 cm di zenzero fresco,4 cm di zenzero fresco,zenzero,4 cm,zenzero,zenzero,zenzero,285,,,,,
97,pepe rosa,pepe rosa,pepe rosa,,pepe rosa,pepe rosa,pepe,5844,,,,,
98,foglioline di menta,foglioline di menta,menta,foglioline,menta,menta,menta,533,,,,,
99,18 crêpe pronte,18 crêpe pronte,crêpe pronte,18,crêpe,crêpe,crepes,12,,,,,
100,300 g di zucchine tenere,300 g di zucchine tenere,zucchine tenere,300 g,zucchine tenere,zucchine,zucchine,654,,,,,
101,3 caprini,3 caprini,caprini,3,caprini,caprini,caprino,58,,,,,
102,1 scalogno,1 scalogno,scalogno,1,scalogno,scalogno,scalogno,620,,,,,
103,formaggio grattugiato,formaggio grattugiato,formaggio,,formaggio,formaggio,formaggio,264,,,,,
104,burro,burro,burro,,burro,burro,burro,4606,,,,,
105,9 fiori di zucca,9 fiori di zucca,di zucca,9 fiori,zucca,zucca,zucca,226,,,,,
106,2 melanzane,2 melanzane,melanzane,2,melanzane,melanzane,melanzane,295,,,,,
107,1 kg di polpo,1 kg di polpo,polpo,1 kg,polpo,polpo,polpo,47,,,,,
108,qualche pomodorino,qualche pomodorino,,,,,,,,,,,
109,2 cucchiai di capperi sotto sale,2 cucchiai di capperi sotto sale,capperi sotto sale,2 cucchiai,capperi sotto sale,capperi sotto sale,capperi,366,,,,,
110,12 olive taggiasche,12 olive taggiasche,olive taggiasche,12,olive taggiasche,olive taggiasche,olive taggiasche,106,,,,,
111,aglio,aglio,aglio,,aglio,aglio,aglio,2572,,,,,
112,prezzemolo,prezzemolo,prezzemolo,,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
113,peperoncino in polvere,peperoncino,peperoncino,,peperoncino,peperoncino,peperoncino,468,,,,,
114,1 bicchiere d’aceto,1 bicchiere d'aceto,d' aceto,1 bicchiere,aceto,aceto,aceto,528,,,,,
115,500 g di ciuffetti di calamaro,500 g di ciuffetti di calamaro,calamaro,500 g,calamaro,calamaro,calamari,102,,,,,
116,100 g farina di semola di grano duro,100 g farina di semola di grano duro,farina di semola di grano duro,100 g,farina di semola di grano duro,farina di semola di grano duro,farina,2121,,,,,
117,"100 g di farina ""00""","100 g di farina ""00""",farina 00,100 g,farina 00,farina 00,farina 00,1803,,,,,
118,olio di arachidi,olio di arachidi,olio di arachidi,,olio di arachidi,olio di arachidi,olio di arachide,339,,,,,
119,12 fette sottili di pesce spada (tagliate nella parte centrale),12 fette sottili di pesce spada,pesce spada,12 fette,pesce spada,pesce spada,pesce spada,66,,,,,
120,250 g di pomodori pelati,250 g di pomodori pelati,pomodori pelati,250 g,pomodori pelati,pomodori pelati,pomodori pelati,196,,,,,
121,1 tazza di mollica di pane,1 tazza di mollica di pane,mollica di pane,1 tazza,mollica di pane,mollica di pane,mollica di pane,98,,,,,
122,1-2 cucchiai di capperi sotto sale,1-2 cucchiai di capperi sotto sale,capperi sotto sale,1 - 2 cucchiai,capperi sotto sale,capperi sotto sale,capperi,366,,,,,
123,14 olive nere denocciolate,14 olive nere denocciolate,olive nere,14,olive nere,olive nere,olive nere,244,,,,,
124,6 melanzane,6 melanzane,melanzane,6,melanzane,melanzane,melanzane,295,,,,,
125,4 pomodori maturi,4 pomodori maturi,pomodori,4,pomodori,pomodori,pomodori,634,,,,,
126,60 g di mollica di pane,60 g di mollica di pane,mollica di pane,60 g,mollica di pane,mollica di pane,mollica di pane,98,,,,,
127,70 g di olive taggiasche denocciolate,70 g di olive taggiasche denocciolate,olive taggiasche,70 g,olive taggiasche,olive taggiasche,olive taggiasche,106,,,,,
128,2-3 filetti di acciughe sott'olio,2-3 filetti di acciughe sott'olio,filetti acciughe sott' olio,2 - 3,filetti di acciughe sott'olio,filetti di acciughe sott'olio,acciughe,403,,,,,
129,40 g di capperi dissalati,40 g di capperi dissalati,capperi dissalati,40 g,capperi dissalati,capperi dissalati,capperi,366,,,,,
130,1 spicchio d'aglio,1 spicchio d'aglio,d' aglio,1 spicchio,aglio,aglio,aglio,2572,,,,,
131,menta fresca,menta fresca,menta fresca,,menta fresca,menta fresca,menta,533,,,,,
132,origano secco,origano secco,origano secco,,origano secco,origano secco,origano,397,,,,,
133,500 g di branzino,500 g di branzino,branzino,500 g,branzino,branzino,branzino,39,,,,,
134,400 g di passata di pomodoro,400 g di passata di pomodoro,passata di pomodoro,400 g,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
135,1 cipolla,1 cipolla,cipolla,1,cipolla,cipolla,cipolla,1415,,,,,
136,pangrattato,pangrattato,pangrattato,,pangrattato,pangrattato,pangrattato,834,,,,,
137,farina,farina,farina,,farina,farina,farina,2121,,,,,
138,olio di arachidi per friggere,olio di arachidi,olio di arachidi,,olio di arachidi,olio di arachidi,olio di arachide,339,,,,,
139,320 g di fusilli,320 g di fusilli,fusilli,320 g,fusilli,fusilli,fusilli,71,,,,,
140,200 g di pomodori maturi,200 g di pomodori maturi,pomodori,200 g,pomodori,pomodori,pomodori,634,,,,,
141,200 g di groviera,200 g di groviera,groviera,200 g,groviera,groviera,groviera,90,,,,,
142,100 g di prosciutto cotto,100 g di prosciutto cotto,prosciutto cotto,100 g,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
143,3 zucchine lessate,3 zucchine lessate,zucchine,3,zucchine,zucchine,zucchine,654,,,,,
144,1 tazza di maionese,1 tazza di maionese,maionese,1 tazza,maionese,maionese,maionese,139,,,,,
145,1 cucchiaio di brandy,1 cucchiaio di brandy,brandy,1 cucchiaio,brandy,brandy,brandy,122,,,,,
146,1 cucchiaio di Worcester,1 cucchiaio di worcester,worcester,1 cucchiaio,worcester,worcestershire sauce,salsa worcestershire,47,,,,,
147,1 punta di Tabasco,1 punta di tabasco,punta di tabasco,1,tabasco,tabasco,tabasco,79,,,,,
148,4 melanzane,4 melanzane,melanzane,4,melanzane,melanzane,melanzane,295,,,,,
149,parmigiano grattugiato,parmigiano grattugiato,parmigiano,,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
150,spezie a piacere,spezie,spezie,,spezie,spezie,spezie,13,,,,,
151,olio di semi di arachide per friggere,olio di semi di arachide,olio di semi di arachide,,olio di semi di arachide,olio di semi di arachide,olio di arachide,339,,,,,
152,270 g di farfalle,270 g di farfalle,farfalle,270 g,farfalle,farfalle,farfalle,35,,,,,
153,3 pomodori rossi da insalata,3 pomodori rossi da insalata,pomodori rossi,3,pomodori rossi,pomodori rossi,pomodori,634,,,,,
154,150-200 g di mozzarella di bufala,150-200 g di mozzarella di bufala,mozzarella di bufala,150 - 200 g,mozzarella di bufala,mozzarella di bufala,mozzarella di bufala,43,,,,,
155,350 g di latte di cocco,350 g di latte di cocco,latte di cocco,350 g,latte di cocco,latte di cocco,latte di cocco,57,,,,,
156,1 l d’acqua,1 l d'acqua,d' acqua,1 l,acqua,acqua,acqua,1976,,,,,
157,350 g di zucchero,350 g di zucchero,zucchero,350 g,zucchero,zucchero,zucchero,4949,,,,,
158,100 g di rum bianco.,100 g di rum bianco.,rum bianco,100 g,rum bianco,rum bianco,rum,218,,,,,
159,fettine di ananas e di banana,fettine di ananas e di banana,ananas,fettine,ananas,ananas,ananas,78,,,,,
160,3 peperoni rossi grandi,3 peperoni rossi grandi,peperoni rossi,3,peperoni rossi,peperoni rossi,peperoni,612,,,,,
161,150 g di gorgonzola,150 g di gorgonzola,gorgonzola,150 g,gorgonzola,gorgonzola,gorgonzola,83,,,,,
162,125 g di burro,125 g di burro,burro,125 g,burro,burro,burro,4606,,,,,
163,45 g di pistacchi spellati,45 g di pistacchi spellati,pistacchi spellati,45 g,pistacchi spellati,pistacchi,pistacchi,193,,,,,
164,300 g di lenticchie,300 g di lenticchie,lenticchie,300 g,lenticchie,lenticchie,lenticchie,49,,,,,
165,1/2 litro circa di brodo vegetale,1/2 litro circa di brodo vegetale,brodo vegetale,1/2 litro,brodo vegetale,brodo vegetale,brodo vegetale,571,,,,,
166,1 cipollotto,1 cipollotto,cipollotto,1,cipollotto,cipollotto,cipollotto fresco,296,,,,,
167,1/2 cucchiaino di zenzero fresco grattugiato,1/2 cucchiaino di zenzero fresco grattugiato,zenzero,1/2 cucchiaino,zenzero,zenzero,zenzero,285,,,,,
168,peperoncino,peperoncino,peperoncino,,peperoncino,peperoncino,peperoncino,468,,,,,
169,1 kg di calamari puliti,1 kg di calamari puliti,calamari,1 kg,calamari,calamari,calamari,102,,,,,
170,500 g di patate,500 g di patate,patate,500 g,patate,patate,patate,1000,,,,,
171,5 pomodori maturi,5 pomodori maturi,pomodori,5,pomodori,pomodori,pomodori,634,,,,,
172,1 cipolla piccola,1 cipolla piccola,cipolla,1,cipolla,cipolla,cipolla,1415,,,,,
173,3 cucchiai di prezzemolo tritato,3 cucchiai di prezzemolo tritato,prezzemolo,3 cucchiai,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
174,2 tazze di mollica di pane,2 tazze di mollica di pane,mollica di pane,2 tazze,mollica di pane,mollica di pane,mollica di pane,98,,,,,
175,60 g di pecorino o Grana Padano grattugiati,60 g di pecorino o grana padano grattugiati,pecorino padano grattugiati,60 g,pecorino padano grattugiati,pecorino,pecorino,519,,,,,
176,1 kg 200 g di melanzane oblunghe,1 kg 200 g di melanzane oblunghe,melanzane oblunghe,1 kg 200 g,melanzane oblunghe,melanzane,melanzane lunghe,18,,,,,
177,500 ml di passata di pomodoro,500 ml di passata di pomodoro,passata di pomodoro,500 ml,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
178,300 g di mozzarella,300 g di mozzarella,mozzarella,300 g,mozzarella,mozzarella,mozzarella,264,,,,,
179,mezza cipolla,mezza cipolla,cipolla,mezza,cipolla,cipolla,cipolla,1415,,,,,
180,100 g di parmigiano grattugiato,100 g di parmigiano grattugiato,parmigiano,100 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
181,1 spicchio aglio,1 spicchio aglio,aglio,1 spicchio,aglio,aglio,aglio,2572,,,,,
182,1 mazzetto di basilico,1 mazzetto di basilico,basilico,1 mazzetto,basilico,basilico,basilico,944,,,,,
183,1 litro di olio per friggere,1 litro di olio,olio,1 litro,olio,olio,olio,2191,,,,,
184,450 g di riso carnaroli,450 g di riso carnaroli,riso carnaroli,450 g,riso carnaroli,riso carnaroli,riso carnaroli,233,,,,,
185,2 l di acqua bollente e salata,2 l di acqua bollente e salata,acqua,2 l,acqua,acqua,acqua,1976,,,,,
186,vino bianco secco,vino bianco secco,vino bianco secco,,vino bianco secco,vino bianco secco,vino bianco,1177,,,,,
187,3 cucchiai di doppio concentrato di pomodoro,3 cucchiai di doppio concentrato di pomodoro,doppio concentrato di pomodoro,3 cucchiai,concentrato di pomodoro,concentrato di pomodoro,concentrato di pomodoro,192,,,,,
188,200 ml di passata di pomodoro,200 ml di passata di pomodoro,passata di pomodoro,200 ml,passata di pomodoro,passata di pomodoro,passata di pomodoro,374,,,,,
189,50 g di parmigiano grattugiato,50 g di parmigiano grattugiato,parmigiano,50 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
190,350 g di spezzatino di manzo,350 g di spezzatino di manzo,spezzatino di manzo,350 g,spezzatino di manzo,spezzatino di manzo,carne di bovino,492,,,,,
191,1 carota,1 carota,carota,1,carota,carota,carote,1077,,,,,
192,1 costa di sedano,1 costa di sedano,sedano,1 costa,sedano,sedano,sedano,796,,,,,
193,130 g di piselli surgelati,130 g di piselli surgelati,piselli surgelati,130 g,piselli,piselli,piselli,302,,,,,
194,200 g di provola affumicata,200 g di provola affumicata,provola affumicata,200 g,provola affumicata,provola affumicata,provola affumicata,31,,,,,
195,320 g di spaghettoni,320 g di spaghettoni,spaghettoni,320 g,spaghettoni,spaghettoni,spaghettoni,5,,,,,
196,300 g di salsiccia,300 g di salsiccia,salsiccia,300 g,salsiccia,salsiccia,salsiccia,225,,,,,
197,1 melanzana lunga,1 melanzana lunga,melanzana,1,melanzana,melanzana,melanzane,295,,,,,
198,olio di semi di arachide di per friggere,olio di semi di arachide di,olio di semi arachide,,olio di semi arachide,olio,olio di arachide,339,,,,,
199,ricotta salata,ricotta salata,ricotta salata,,ricotta salata,ricotta salata,ricotta salata,36,,,,,
200,30 ml di cognac,30 ml di cognac,cognac,30 ml,cognac,cognac,cognac,64,,,,,
201,30 ml di crema di cacao (bruna),30 ml di crema di cacao,crema di cacao,30 ml,crema di cacao,crema,nutella,136,,,,,
202,30 ml panna fresca,30 ml panna fresca,panna fresca,30 ml,panna fresca,panna fresca,panna fresca,1860,,,,,
203,noce moscata,noce moscata,moscata,noce,,,,,,,,,
204,1 avocado non troppo maturo,1 avocado,avocado,1,avocado,avocado,avocado,136,,,,,
205,20 fettine sottili di pancetta steccata,20 fettine sottili di pancetta steccata,pancetta steccata,20 fettine,pancetta steccata,pancetta,pancetta,245,,,,,
206,3 fette di Pan di Spagna,3 fette di pan di spagna,pan di spagna,3 fette,pan di spagna,pan di spagna,pan di spagna,30,,,,,
207,400 g di gelato al fiordilatte o crema,400 g di gelato al fiordilatte o crema,gelato al fiordilatte,400 g,gelato al fiordilatte,gelato al fiordilatte,gelato al fiordilatte,11,,,,,
208,1 cestino di fragole,1 cestino di fragole,di fragole,1 cestino,fragole,fragole,fragole,249,,,,,
209,30 g di perline di cioccolato,30 g di perline di cioccolato,perline di cioccolato,30 g,perline di cioccolato,perline di cioccolato,perline di cioccolato,1,,,,,
210,60 g di cioccolato fondente,60 g di cioccolato fondente,cioccolato fondente,60 g,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
211,2 mazzi di asparagi,2 mazzi di asparagi,asparagi,2 mazzi,asparagi,asparagi,asparagi,192,,,,,
212,50 g di pane raffermo,50 g di pane raffermo,pane raffermo,50 g,pane raffermo,pane raffermo,pane raffermo,106,,,,,
213,40 g di mandorle a lamelle,40 g di mandorle,mandorle,40 g,mandorle,mandorle,mandorle,415,,,,,
214,1 pizzico di semi di cumino,1 pizzico di semi di cumino,semi di cumino,1 pizzico,semi di cumino,semi di cumino,semi,107,,,,,
215,250 g bevanda di soia naturale,250 g bevanda di soia naturale,bevanda di soia naturale,250 g,bevanda di soia naturale,bevanda di riso,bevanda di soia,4,,,,,
216,50 g farina di riso,50 g farina di riso,farina di riso,50 g,farina di riso,farina di riso,farina di riso,103,,,,,
217,50 g olio di semi di girasole,50 g olio di semi di girasole,olio di semi di girasole,50 g,olio di semi di girasole,olio di semi di girasole,olio di girasole,132,,,,,
218,2 uova,2 uova,uova,2,uova,uova,uova,3872,,,,,
219,150 g di zucchero semolato,150 g di zucchero semolato,zucchero semolato,150 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
220,100 g di olio vegetale,100 g di olio vegetale,olio vegetale,100 g,olio vegetale,olio vegetale,olio,2191,,,,,
221,50 g di latte,50 g di latte,latte,50 g,latte,latte,latte,2242,,,,,
222,500 g di farina 00,500 g di farina 00,farina,500 g,farina,farina,farina,2121,,,,,
223,10 g di bicarbonato d'ammonio,10 g di bicarbonato d'ammonio,bicarbonato d' ammonio,10 g,bicarbonato d'ammonio,bicarbonato,bicarbonato,142,,,,,
224,la scorza grattugiata di un limone non trattato,la scorza grattugiata di un limone,limone,un,limone,limone,limone,1394,,,,,
225,1 bacca di vaniglia,1 bacca di vaniglia,vaniglia,1 bacca,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
226,un pizzico di sale,un pizzico di sale,sale,un pizzico,sale,sale,sale,9693,,,,,
227,zucchero di canna chiaro (demerara),zucchero di canna chiaro,zucchero di canna,,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
228,170 g di burro morbido,170 g di burro morbido,burro,170 g,burro,burro,burro,4606,,,,,
229,140 g di zucchero semolato,140 g di zucchero semolato,zucchero semolato,140 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
230,1 cucchiaino raso di lievito per dolci,1 cucchiaino raso di lievito,lievito,1 cucchiaino,lievito,lievito,lievito,994,,,,,
231,200 g di farina 00,200 g di farina 00,farina,200 g,farina,farina,farina,2121,,,,,
232,15 g di miele fluido,15 g di miele fluido,miele,15 g,miele,miele,miele,335,,,,,
233,15 g di panna fresca,15 g di panna fresca,panna fresca,15 g,panna fresca,panna fresca,panna fresca,1860,,,,,
234,160 g di farina 00,160 g di farina 00,farina,160 g,farina,farina,farina,2121,,,,,
235,40 di cacao amaro in polvere,40 di cacao amaro,cacao amaro,40,cacao amaro,cacao amaro,cacao amaro,524,,,,,
236,800 g di broccoli,800 g di broccoli,broccoli,800 g,broccoli,broccoli,broccoli,95,,,,,
237,uno spicchio d’aglio,uno spicchio d'aglio,d' aglio,uno spicchio,aglio,aglio,aglio,2572,,,,,
